ID ORDEN,FECHA DE ORDEN,FECHA DE DESPACHO,PRIORIDAD,ID CLIENTE,CLIENTE,SEGMENTO DE CLIENTE,CATEGORIA DE PRODUCTO,SUBCATEGORIA DE PRODUCTO,PRODUCTO,CIUDAD,PRECIO UNITARIO,CANTIDAD DE PEDIDO,DESCUENTO x unidad,COSTO DE ENVIO
13735,21/05/2015,"sábado, 23 de Mayo de 2015",Medium,1129,Pam Patton,Home Office,Office Supplies,Envelopes,"#10- 4 1/8"" x 9 1/2"" Security-Tint Envelopes",Massachusetts,7.64,52,0.02,1.39
13959,04/04/2015,"lunes, 06 de Abril de 2015",Medium,117,Linda Weiss,Home Office,Office Supplies,Labels,Avery 493,Washington,4.91,47,0.01,0.5
13959,04/04/2015,"lunes, 06 de Abril de 2015",Medium,117,Linda Weiss,Home Office,Office Supplies,Paper,EcoTones® Memo Sheets,Washington,4,19,0.09,1.3
14115,14/02/2015,"lunes, 16 de Febrero de 2015",Not Specified,1682,Julie Edwards,Consumer,Furniture,Office Furnishings,Eldon® 200 Class™ Desk Accessories,Illinois,6.28,43,0.04,5.41
14596,10/01/2015,"lunes, 12 de Enero de 2015",Critical,894,Gail Rankin Cole,Corporate,Furniture,Office Furnishings,Document Clip Frames,District of Columbia,8.34,24,0.01,0.96
14596,10/01/2015,"domingo, 11 de Enero de 2015",Critical,894,Gail Rankin Cole,Corporate,Office Supplies,Pens & Art Supplies,Newell 337,District of Columbia,3.28,19,0.06,3.97
14756,28/02/2015,"sábado, 28 de Febrero de 2015",Low,3075,Gordon Brandt,Corporate,Furniture,Office Furnishings,"Executive Impressions 13"" Clairmont Wall Clock",California,19.23,4,0.06,6.15
14785,09/04/2015,"jueves, 09 de Abril de 2015",High,2491,Sean N Boyer,Consumer,Office Supplies,Labels,Avery 493,California,4.91,36,0.08,0.5
14785,09/04/2015,"viernes, 10 de Abril de 2015",High,2491,Sean N Boyer,Consumer,Office Supplies,Pens & Art Supplies,"Boston Model 1800 Electric Pencil Sharpener, Gray",California,28.15,45,0.02,6.17
16547,18/02/2015,"miércoles, 18 de Febrero de 2015",Not Specified,2498,Arlene Long,Corporate,Furniture,Tables,BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,California,218.75,8,0.04,69.64
16547,18/02/2015,"viernes, 20 de Febrero de 2015",Not Specified,2498,Arlene Long,Corporate,Furniture,Chairs & Chairmats,Hon 4700 Series Mobuis™ Mid-Back Task Chairs with Adjustable Arms,California,355.98,30,0.09,58.92
16676,19/03/2015,"jueves, 19 de Marzo de 2015",High,2882,Andrew Gonzalez,Consumer,Technology,Telephones and Communication,SouthWestern Bell FA970 Digital Answering Machine with Time/Day Stamp,North Carolina,28.99,39,0.07,8.59
17155,28/01/2015,"jueves, 29 de Enero de 2015",Medium,553,Kristine Connolly,Home Office,Office Supplies,Paper,"Adams Phone Message Book, 200 Message Capacity, 8 1/16” x 11”",California,6.88,36,0,2
17446,09/06/2015,"jueves, 11 de Junio de 2015",Critical,349,Kim Weiss,Home Office,Office Supplies,"Scissors, Rulers and Trimmers",Acme® Elite Stainless Steel Scissors,Florida,8.34,23,0,2.64
17636,04/02/2015,"domingo, 08 de Febrero de 2015",Low,962,Yvonne Clarke,Home Office,Office Supplies,Pens & Art Supplies,Newell 343,Illinois,2.94,2,0.03,0.96
18561,09/01/2015,"sábado, 10 de Enero de 2015",Not Specified,1745,Herbert Holden,Home Office,Office Supplies,Labels,"Avery 05222 Permanent Self-Adhesive File Folder Labels for Typewriters, on Rolls, White, 250/Roll",Georgia,4.13,9,0.02,6.89
19042,01/03/2015,"lunes, 02 de Marzo de 2015",Critical,1280,Harold Albright,Corporate,Office Supplies,Binders and Binder Accessories,"Wilson Jones Ledger-Size, Piano-Hinge Binder, 2"", Blue",Washington,40.98,8,0.07,7.47
20007,05/02/2015,"viernes, 06 de Febrero de 2015",Not Specified,2498,Arlene Long,Small Business,Office Supplies,Pens & Art Supplies,Newell 323,California,1.68,88,0.08,1.57
20261,20/05/2015,"sábado, 23 de Mayo de 2015",Medium,1106,Maxine Collier Grady,Small Business,Office Supplies,Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",Texas,6.35,52,0.04,1.02
21572,13/02/2015,"domingo, 15 de Febrero de 2015",Critical,3342,Paul Tate,Home Office,Furniture,Office Furnishings,Electrix Halogen Magnifier Lamp,District of Columbia,194.3,42,0.03,11.54
21636,10/02/2015,"martes, 10 de Febrero de 2015",Low,1340,Marie Bass,Home Office,Technology,Telephones and Communication,Accessory24,New York,55.99,63,0.02,3.3
21636,10/02/2015,"martes, 17 de Febrero de 2015",Low,1340,Marie Bass,Home Office,Office Supplies,Binders and Binder Accessories,"Avery Flip-Chart Easel Binder, Black",  New York,22.38,29,0,15.1
21636,10/02/2015,"domingo, 15 de Febrero de 2015",Low,1340,Marie Bass,Home Office,Office Supplies,Storage & Organization,"Perma STOR-ALL™ Hanging File Box, 13 1/8""W x 12 1/4""D x 10 1/2""H",New York,5.98,11,0.07,4.69
21958,05/06/2015,"sábado, 06 de Junio de 2015",High,2882,Andrew Gonzalez,Consumer,Office Supplies,Appliances,Hoover WindTunnel™ Plus Canister Vacuum,North Carolina,363.25,21,0.09,19.99
22147,16/01/2015,"martes, 20 de Enero de 2015",Low,667,Allison Kirby,Corporate,Furniture,Office Furnishings,"Executive Impressions 14"" Two-Color Numerals Wall Clock",Texas,22.72,37,0.04,8.99
22755,30/03/2015,"miércoles, 01 de Abril de 2015",Medium,1314,Keith Marsh,Home Office,Technology,Telephones and Communication,Accessory6,California,55.99,5,0.06,5
22755,30/03/2015,"miércoles, 01 de Abril de 2015",Medium,1314,Keith Marsh,Home Office,Office Supplies,Binders and Binder Accessories,Wilson Jones 14 Line Acrylic Coated Pressboard Data Binders,California,5.34,45,0.04,2.99
23042,26/04/2015,"lunes, 27 de Abril de 2015",Medium,2491,Sean N Boyer,Home Office,Office Supplies,Storage & Organization,Smead Adjustable Mobile File Trolley with Lockable Top,California,419.19,20,0.04,19.99
23751,18/03/2015,"jueves, 19 de Marzo de 2015",Medium,2747,Brian Grady,Corporate,Furniture,Bookcases,"Bush Cubix Collection Bookcases, Fully Assembled",New York,220.98,44,0.01,64.66
23877,12/01/2015,"lunes, 12 de Enero de 2015",Not Specified,2491,Sean N Boyer,Home Office,Technology,Telephones and Communication,T6120,California,65.99,37,0.07,8.8
23877,12/01/2015,"miércoles, 14 de Enero de 2015",Not Specified,2491,Sean N Boyer,Home Office,Technology,Computer Peripherals,TDK 4.7GB DVD-R,California,10.01,42,0,1.99
24193,14/03/2015,"lunes, 16 de Marzo de 2015",Not Specified,373,Jeanne Werner,Small Business,Technology,Telephones and Communication,Accessory4,Michigan,85.99,19,0.04,0.99
24193,14/03/2015,"lunes, 16 de Marzo de 2015",Not Specified,373,Jeanne Werner,Small Business,Furniture,Bookcases,O'Sullivan Living Dimensions 3-Shelf Bookcases,Michigan,200.98,45,0.02,55.96
24193,14/03/2015,"domingo, 15 de Marzo de 2015",Not Specified,373,Jeanne Werner,Small Business,Office Supplies,Paper,Xerox 1971,Michigan,4.28,24,0.02,5.17
24294,02/02/2015,"martes, 03 de Febrero de 2015",Not Specified,3196,Rick Foster Hawkins,Home Office,Technology,Office Machines,Hewlett-Packard Deskjet 6122 Color Inkjet Printer,California,200.97,43,0.03,15.59
24455,06/06/2015,"martes, 09 de Junio de 2015",Not Specified,1340,Marie Bass,Home Office,Office Supplies,Pens & Art Supplies,Fluorescent Highlighters by Dixon,New York ,3.98,76,0.07,0.83
24869,10/06/2015,"jueves, 11 de Junio de 2015",Not Specified,2431,Troy Cassidy,Consumer,Office Supplies,Binders and Binder Accessories,GBC Standard Plastic Binding Systems Combs,California,8.85,21,0.05,5.6
26342,18/04/2015,"lunes, 27 de Abril de 2015",Low,1959,Bonnie Matthews Rowland,Home Office,Office Supplies,Paper,Hammermill Color Copier Paper (28Lb. and 96 Bright),Florida,9.99,43,0.02,11.59
26342,18/04/2015,"jueves, 23 de Abril de 2015",Low,1959,Bonnie Matthews Rowland,Home Office,Office Supplies,Paper,Xerox 1937,  Florida,48.04,74,0.02,5.79
26342,18/04/2015,"sábado, 25 de Abril de 2015",Low,1959,Bonnie Matthews Rowland,Home Office,Office Supplies,Paper,Xerox 1986,   Florida,6.68,5,0.04,4.91
27013,05/01/2015,"viernes, 09 de Enero de 2015",Low,1314,Keith Marsh,Home Office,Office Supplies,Storage & Organization,Carina Double Wide Media Storage Towers in Natural & Black,California,80.98,34,0.05,35
27013,05/01/2015,"lunes, 05 de Enero de 2015",Low,1314,Keith Marsh,Home Office,Office Supplies,Storage & Organization,"Tennsco Snap-Together Open Shelving Units, Starter Sets and Add-On Units",California,279.48,31,0.05,35
27456,10/04/2015,"sábado, 11 de Abril de 2015",Not Specified,1104,Timothy Ross,Home Office,Office Supplies,Appliances,"Sanyo Counter Height Refrigerator with Crisper, 3.6 Cubic Foot, Stainless Steel/Black",New York,328.14,29,0.05,91.05
28001,14/06/2015,"martes, 16 de Junio de 2015",Critical,1044,Erin Ballard,Home Office,Furniture,Office Furnishings,Electrix Halogen Magnifier Lamp,California,194.3,32,0.01,11.54
28001,14/06/2015,"domingo, 14 de Junio de 2015",Critical,1044,Erin Ballard,Home Office,Furniture,Office Furnishings,Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base,California,209.84,62,0.02,21.21
28225,22/01/2015,"jueves, 22 de Enero de 2015",Critical,1959,Bonnie Matthews Rowland,Corporate,Furniture,Office Furnishings,"Career Cubicle Clock, 8 1/4"", Black",Florida,20.28,9,0,14.39
28647,14/03/2015,"domingo, 15 de Marzo de 2015",Critical,604,Lindsay P Ashley,Corporate,Furniture,Tables,Laminate Occasional Tables,California,154.13,38,0.09,69
29319,24/01/2015,"lunes, 26 de Enero de 2015",Low,1282,Dana Sharpe,Small Business,Technology,Copiers and Fax,Canon PC-428 Personal Copier,Pennsylvania,199.99,21,0.03,24.49
29319,24/01/2015,"lunes, 26 de Enero de 2015",Low,1282,Dana Sharpe,Small Business,Furniture,Chairs & Chairmats,Safco Contoured Stacking Chairs,Pennsylvania,238.4,30,0.1,24.49
29350,25/02/2015,"jueves, 26 de Febrero de 2015",High,1193,Louis Parrish,Consumer,Office Supplies,Pens & Art Supplies,"Dixon Ticonderoga Core-Lock Colored Pencils, 48-Color Set",District of Columbia,36.55,83,0.05,13.89
29350,25/02/2015,"viernes, 27 de Febrero de 2015",High,1193,Louis Parrish,Consumer,Office Supplies,Binders and Binder Accessories,Ibico Laser Imprintable Binding System Covers,District of Columbia,52.4,85,0.05,16.11
29889,04/06/2015,"domingo, 07 de Junio de 2015",Not Specified,2548,Wayne Bass,Small Business,Office Supplies,Pens & Art Supplies,"Dixon Ticonderoga® Erasable Colored Pencil Set, 12-Color",California,5.98,81,0.09,1.67
30785,03/01/2015,"martes, 06 de Enero de 2015",High,2460,Lucille Gibbons,Home Office,Office Supplies,Pens & Art Supplies,Peel-Off® China Markers,New York,9.93,46,0.07,1.09
30785,03/01/2015,"lunes, 05 de Enero de 2015",High,2460,Lucille Gibbons,Home Office,Office Supplies,Paper,Xerox 227,New York,6.48,8,0.03,8.73
32037,16/02/2015,"lunes, 23 de Febrero de 2015",Low,1129,Pam Patton,Home Office,Office Supplies,Binders and Binder Accessories,Avery Printable Repositionable Plastic Tabs,Massachusetts,8.6,37,0.04,6.19
32037,16/02/2015,"viernes, 20 de Febrero de 2015",Low,1129,Pam Patton,Home Office,Technology,Copiers and Fax,Canon Imageclass D680 Copier / Fax,Massachusetts,699.99,15,0.07,24.49
32420,29/01/2015,"sábado, 31 de Enero de 2015",Medium,699,Jenny Gold,Consumer,Furniture,Chairs & Chairmats,Hon 2090 “Pillow Soft” Series Mid Back Swivel/Tilt Chairs,California,280.98,23,0.07,57
32420,29/01/2015,"sábado, 31 de Enero de 2015",Medium,699,Jenny Gold,Consumer,Technology,Computer Peripherals,"Imation 3.5, DISKETTE 44766 HGHLD3.52HD/FM, 10/Pack",California,5.02,42,0.07,5.14
32710,16/05/2015,"domingo, 17 de Mayo de 2015",High,1723,Constance Flowers,Corporate,Office Supplies,Storage & Organization,Eldon Simplefile® Box Office®,California,12.44,146,0.04,6.27
32869,27/03/2015,"sábado, 28 de Marzo de 2015",Medium,698,Nelson Hensley,Corporate,Furniture,Office Furnishings,"Deflect-o EconoMat Nonstudded, No Bevel Mat",Washington,51.65,49,0.05,18.45
32869,27/03/2015,"sábado, 28 de Marzo de 2015",Medium,698,Nelson Hensley,Corporate,Technology,Computer Peripherals,"Imation Neon Mac Format Diskettes, 10/Pack",Washington,8.12,41,0.06,2.83
32869,27/03/2015,"sábado, 28 de Marzo de 2015",Medium,698,Nelson Hensley,Corporate,Technology,Telephones and Communication,T2180,Washington,175.99,39,0.1,8.99
33635,12/01/2015,"martes, 13 de Enero de 2015",High,898,Harriet Hodges,Small Business,Technology,Office Machines,Lexmark Z55se Color Inkjet Printer,New York,90.97,6,0.04,28
33635,12/01/2015,"martes, 13 de Enero de 2015",High,898,Harriet Hodges,Small Business,Office Supplies,Storage & Organization,Tennsco Commercial Shelving,New York,20.34,5,0.07,35
34017,23/03/2015,"lunes, 23 de Marzo de 2015",High,2618,Amy Hamrick Melvin,Corporate,Office Supplies,Pens & Art Supplies,*Staples* Highlighting Markers,New York,4.84,20,0.05,0.71
34017,23/03/2015,"miércoles, 25 de Marzo de 2015",High,2618,Amy Hamrick Melvin,Corporate,Office Supplies,Storage & Organization,Super Decoflex Portable Personal File,New York,14.98,28,0.01,7.69
34435,05/02/2015,"sábado, 07 de Febrero de 2015",Low,1821,Vanessa Boyer,Consumer,Office Supplies,Pens & Art Supplies,Staples Battery-Operated Desktop Pencil Sharpener,New York,10.48,76,0.01,2.89
34882,24/01/2015,"domingo, 25 de Enero de 2015",Critical,604,Lindsay P Ashley,Home Office,Office Supplies,Binders and Binder Accessories,Staples® General Use 3-Ring Binders,California,1.88,52,0.03,1.49
35200,05/02/2015,"sábado, 07 de Febrero de 2015",Medium,2747,Brian Grady,Corporate,Furniture,Office Furnishings,"Eldon® Expressions™ Wood and Plastic Desk Accessories, Oak",New York,9.98,15,0.08,12.52
36069,05/06/2015,"miércoles, 10 de Junio de 2015",Low,272,Eleanor Swain,Home Office,Office Supplies,Envelopes,"Tyvek ® Top-Opening Peel & Seel ® Envelopes, Gray",North Carolina,35.94,24,0.09,6.66
36069,05/06/2015,"domingo, 07 de Junio de 2015",Low,272,Eleanor Swain,Home Office,Office Supplies,Paper,Xerox 1922,North Carolina,4.98,37,0.09,7.44
36452,05/04/2015,"lunes, 06 de Abril de 2015",High,1246,Lois Hansen,Home Office,Office Supplies,Binders and Binder Accessories,"Avery Flip-Chart Easel Binder, Black",New York,22.38,26,0.1,15.1
36452,05/04/2015,"martes, 07 de Abril de 2015",High,1246,Lois Hansen,Home Office,Furniture,Office Furnishings,G.E. Halogen Desk Lamp Bulbs,New York,6.98,18,0.04,2.83
36647,30/06/2015,"miércoles, 01 de Julio de 2015",High,699,Jenny Gold,Consumerr,Office Supplies,"Scissors, Rulers and Trimmers","*Staples* vLetter Openers, 2/Pack",California,3.68,24,0.09,1.32
36647,30/06/2015,"viernes, 03 de Julio de 2015",High,699,Jenny Gold,Consumer,Office Supplies,Storage & Organization,Filing/Storage Totes and Swivel Casters,California,9.71,27,0.1,9.45
36647,30/06/2015,"miércoles, 01 de Julio de 2015",High,699,Jenny Gold,Consumeer,Office Supplies,Rubber Bands,"Staples Vinyl Coated Paper Clips, 800/Box",California,7.89,32,0.01,2.82
37537,02/01/2015,"viernes, 09 de Enero de 2015",Low,68,Scott Bunn,Corporate,Office Supplies,Storage & Organization,"Dual Level, Single-Width Filing Carts",New York,155.06,32,0.05,7.07
37537,02/01/2015,"viernes, 02 de Enero de 2015",Low,68,Scott Bunn,Corporate,Furniture,Chairs & Chairmats,Hon 4070 Series Pagoda™ Armless Upholstered Stacking Chairs,New York,291.73,4,0,48.8
37537,02/01/2015,"domingo, 04 de Enero de 2015",Low,68,Scott Bunn,Corporate,Furniture,Chairs & Chairmats,Hon Valutask™ Swivel Chairs,New York,100.98,43,0.07,45
37729,15/01/2015,"jueves, 15 de Enero de 2015",Not Specified,1402,Wesley Tate,Corporate,Office Supplies,Binders and Binder Accessories,Avery Printable Repositionable Plastic Tabs,Illinois,8.6,48,0,6.19
37760,14/02/2015,"domingo, 15 de Febrero de 2015",High,308,Glen Caldwell,Small Business,Technology,Computer Peripherals,"80 Minute Slim Jewel Case CD-R , 10/Pack - Staples",Washington,8.33,32,0.01,1.99
37924,29/05/2015,"viernes, 29 de Mayo de 2015",High,2670,Yvonne Mann,Home Office,Office Supplies,Storage & Organization,Economy Rollaway Files,California,165.2,167,0.05,19.99
37924,29/05/2015,"viernes, 29 de Mayo de 2015",High,2670,Yvonne Mann,Home Office,Office Supplies,Pens & Art Supplies,Model L Table or Wall-Mount Pencil Sharpener,California,17.99,71,0.09,8.65
37987,03/01/2015,"domingo, 04 de Enero de 2015",High,2303,Joe Baldwin,Corporate,Furniture,Tables,Bevis Round Conference Table Top & Single Column Base,New York,146.34,6,0.1,43.75
38080,14/03/2015,"domingo, 15 de Marzo de 2015",Not Specified,1682,Julie Edwards,Consumer,Office Supplies,Paper,Staples Copy Paper (20Lb. and 84 Bright),Illinois,4.98,47,0.08,4.7
38087,21/02/2015,"sábado, 21 de Febrero de 2015",Critical,181,Wesley Waller,Small Business,Technology,Computer Peripherals,Zoom V.92 USB External Faxmodem,California,49.99,18,0.02,19.99
38529,02/02/2015,"lunes, 02 de Febrero de 2015",Low,894,Gail Rankin Cole,Corporate,Office Supplies,Rubber Bands,OIC Thumb-Tacks,District of Columbia,1.14,38,0.02,0.7
38852,01/05/2015,"domingo, 03 de Mayo de 2015",Not Specified,1193,Louis Parrish,Small Business,Office Supplies,Binders and Binder Accessories,Avery Hanging File Binders,District of Columbia,5.98,85,0.03,1.49
